"","Column1","study","year","psy_or_med","active_type","control_type","descr_active","descr_control","instrument","instrument_value","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","responders_active","responders_control","resp_rate_active","resp_rate_control","resp_rate_active_completers","resp_rate_control_completers","cuij_responders_active","cuij_responders_control","time_weeks","comorbid_mental","comorbid_mental?","country","age_group","mean_age","active_mean_age","control_mean_age","percent_women","active_percent_women","control_percent_women","diagnosis","Notes"
"1",1,"Organon","2002a",0,"Mirtazapine","Placebo",NA,NA,"CDRS",1,"clinician",NA,NA,82,NA,NA,44,35.08,NA,82,37.24,NA,44,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"n","NA",NA,"7 to 17",NA,12.3,12.4,NA,47.6,56.8,"mdd","FDA trial - poor reporting"
"2",2,"Organon","2002b",0,"Mirtazapine","Placebo",NA,NA,"CDRS",1,"clinician",NA,NA,85,NA,NA,45,35.39,NA,82,38.76,NA,41,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"n","NA",NA,"7 to 17",NA,11.9,12.3,NA,50,50.5,"mdd",NA
"3",3,"Atkinson","2014.0",0,"Duloxetine","Placebo",NA,NA,"CDRS-R",1,"clinician",59.2,10.5,117,60.2,11.7,103,35,NA,87,35,NA,87,NA,NA,NA,NA,NA,NA,"50% improvement on CDRS",NA,NA,0.67,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,10,"n","NA","USA","7 to 17",NA,13.1,13.1,NA,54.7,49.5,"mdd",NA
"4",4,"Atkinson","2014.0",0,"Fluoxetine","Placebo",NA,NA,"CDRS-R",1,"clinician",58.8,10.6,117,60.2,11.7,103,35.6,NA,91,35,NA,87,NA,NA,NA,NA,NA,NA,"50% improvement on CDRS",NA,NA,0.63,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,10,"n","NA","USA","7 to 17",NA,13.1,13.1,NA,52.1,49.5,"mdd",NA
"5",5,"Berard","2006.0",0,"Paroxetine","Placebo",NA,NA,"MADRS",3,"clinician",25.9,0.5,182,25.9,0.6,93,NA,NA,177,NA,NA,177,-13.6,0.82,177,-12.8,1.08,91,"50% improvement from baseline",107,177,NA,53,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"y","Anxiety disorders (specific phobia, separation anxiety disorder, panic disorder, social phobia, GAD) and ADHD","International (Belgium, Italy, Spain, UK< The Netherlands, Canada, South Africa, UAE, Argentina, Mexico)","12 to 19",NA,15.5,15.8,NA,67,67,"mdd",NA
"6",6,"Berard","2006.0",0,"Paroxetine","Placebo",NA,NA,"K-SADS-L",6,"clinician",NA,NA,182,NA,NA,93,NA,NA,171,NA,NA,88,-9.33,0.54,171,-8.92,0.7,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"y","Anxiety disorders (specific phobia, separation anxiety disorder, panic disorder, social phobia, GAD) and ADHD","International (Belgium, Italy, Spain, UK< The Netherlands, Canada, South Africa, UAE, Argentina, Mexico)","12 to 19",NA,15.5,15.8,NA,67,67,"mdd",NA
"7",7,"Berard","2006.0",0,"Paroxetine","Placebo",NA,NA,"CGI-I",99,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",119,172,NA,51,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"y","Anxiety disorders (specific phobia, separation anxiety disorder, panic disorder, social phobia, GAD) and ADHD","International (Belgium, Italy, Spain, UK< The Netherlands, Canada, South Africa, UAE, Argentina, Mexico)","12 to 19",NA,15.5,15.8,NA,67,67,"mdd",NA
"8",8,"Berard","2006.0",0,"Paroxetine","Placebo",NA,NA,"BDI",4,"clinician",23,0.08,182,22.4,1.2,93,NA,NA,174,NA,NA,174,-12.5,0.82,174,-12.07,1.08,90,"Change from baseline BDI score.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"y","Anxiety disorders (specific phobia, separation anxiety disorder, panic disorder, social phobia, GAD) and ADHD","International (Belgium, Italy, Spain, UK< The Netherlands, Canada, South Africa, UAE, Argentina, Mexico)","12 to 19",NA,15.5,15.8,NA,67,67,"mdd",NA
"9",9,"Bristol-Myers Squibb","2002a",0,"Nefazodone","Placebo",NA,NA,"CDRS",1,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.8,NA,NA,-22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,"mdd","FDA Trial - Poor reporting"
"10",10,"Bristol-Myers Squibb","2002a",0,"Nefazodone","Placebo",NA,NA,"HAM-D",2,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.9,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"missing","missing","USA","missing",NA,NA,NA,NA,NA,NA,"mdd",NA
